business_id,is_open,latitude,longitude,postal_code,review_count,stars
vJIuDBdu01vCA8y1fwR1OQ,0,36.1922841,-115.1592718,89106,3,1.5
kgffcoxT6BQp-gJ-UQ7Czw,1,36.2017936,-115.2819809,89128,13,2.5
0jtRI7hVMpQHpUVtUy4ITw,1,36.2019904392,-115.283122245,89128,242,4.0
JJEx5wIqs9iGGATOagE8Sg,0,36.271169,-115.2677588,89149,4,2.0
zhxnD7J5_sCrKSw5cwI9dQ,1,36.1731404,-115.0779447,89110,16,1.5
2kWrSFkIes_d2BMg4YrRtA,1,36.169353,-115.061694,89110,19,2.5
6llKs7K_tn8ChXcIM-oTvg,1,36.1259335,-115.1352534,89169,3,4.5
YV9GVfmDSDM7HSV0jVdTOA,1,36.0996708,-115.1161439,89121,34,3.0
F7OsiFk9aLZtqZczA84xpw,1,36.100395,-115.1363065,89119,56,2.0
XeDLyY2a7nZ3IEY4RYslXA,1,36.147496,-115.2980657,89117,446,3.5
MDVbJicJvqaO4WGx0vEabQ,1,36.052802,-115.171496,89123,230,3.0
sOkQ2Y1-D8h18oN5NgxuLg,1,36.1152212,-115.3090169,89147,9,5.0
lv5Bnqlt93NnvNJ2oNcQ8Q,1,36.0618411,-115.2519912,89113,313,4.0
D1TaFES4phv65RmsM8VCiA,1,36.2109214,-115.2799156,89134,27,2.5
glkEaoxbewiSMBiXs945JA,0,36.1050207,-115.1735947,89109,466,3.5
lYCeqldIiOggsbByH3RRhw,1,36.0808997,-115.1391027,89119,21,2.5
juuv0QPE_MfnVjevQTpCDg,0,36.1087723175,-115.172635517,89109,7,3.5
DbK9fyJq4O4zfT1jv6JOhw,0,36.123621,-115.2074151,89103,77,4.0
PChG1Dm0A6AXIXkXGVK8Fw,1,36.2189900672,-115.258273815,89129,509,4.0
owxcYAUca_6K6BAUX4V48w,1,36.0502687,-115.1710527,89123,134,4.5
WSGHEQdcdbBWXDpna99EiQ,1,36.1955672,-115.2567877,89128,119,3.5
0aDCv4zPhzy7RklHDrnKQg,0,36.1581178988,-115.089755535,89104,10,4.0
rWkQMRI6PRo5woBaxGD68g,0,36.1725319,-115.197258,89107,8,4.0
Kx0MUrNQ737s-VVElk6Vig,0,36.146908,-115.162372,89102,62,4.0
FW_zg6VuyW5v_vM394gWAw,1,36.1931766054,-115.304225901,89134,121,3.5
r8Jr-7YfkhJL2nxk9lxUNg,1,36.113498,-115.307372,89147,381,4.0
yUqJReOv26454QkjGz37Yw,0,36.1239576,-115.2079142,89103,27,4.0
NGp1HTYrPg3pMP-tXeLf-g,1,36.1974092,-115.1913849,89032,22,2.5
kDZm3fZcLhotRwC50XE_qg,0,36.1790447,-115.2422629,89122,13,4.0
stbX9rtRIpDF-VymOwHJ8w,0,36.0687779,-115.1768402,89119,69,2.5
cQzFj5GNz8l_VMJJnW4mLw,1,36.218866,-115.3253819,89129,96,3.5
YYRP-b61hjDljhWBfmUlDg,1,36.1139,-115.066,89121,21,2.0
oJ7mF-fW8GuEoUZ8BSA37Q,1,36.2195958,-115.2520215,89129,41,4.5
dn_ipqbm7_jUz5X3rDez_A,0,36.1083176,-115.174085,89158,1405,3.5
ZosrzTfiiPhbURA04AQTUA,1,36.0953641961,-115.175830263,89109,281,3.0
qrjRRBOUmN7MFxBQNuJZIA,1,36.1075972875,-115.152489349,89169,59,2.0
5yZ1XmDcOEsElDeb9PlPDQ,0,36.1259293,-115.1976305,89102,150,4.0
joykx2LTxkBKvh-fEk4aKw,0,36.114779,-115.2217331,89103,12,2.0
FbayoQWK77lRJ7Luo2WKlA,0,36.1658210754,-115.14319706,89101,4,2.0
2QznyHGF0PuiYkrl5RU66A,1,36.1461525047,-115.206984915,89102,127,4.5
3Nx9NCzMTXC6jFgdk2mDGg,1,36.1240958,-115.0755858,89121,15,2.5
lYlVsbhDrglWDdhh7OTM2w,0,36.2029728,-115.2424433,89108,7,4.5
LPnbHWVedn2oX3WGkHOJSQ,1,36.1742769,-115.147894,89106,47,3.5
GH5gbLHw05toW6ePNIUzTw,0,36.159948,-115.0477408,89110,7,4.0
aF6cB7BtV3lXQhJoLuESGw,1,36.1782316,-115.0796359,89110,44,4.0
ibFdignja_hNpgCjDYP7Ug,1,36.0708627333,-115.244947596,89113,260,4.0
HV2vPReKp0n0E6zgjsu4Mg,0,36.1335902958,-115.190733453,89102,51,4.5
tzoUxh1HXllUijtAkO6w0Q,0,36.175493,-115.0622705,89110,3,2.5
G8SFOD9TKCSic2o0hyKc0Q,1,36.1426342,-115.2217078,89146,35,4.5
GvSb0uWmBsB58jbzpogciQ,1,36.1486584,-115.2098129,89102,61,4.5
3-Bm90nXNtwLFyDtlj9olQ,0,36.1421289,-115.1423943,89104,24,4.0
H99aadKfIQ3RZ6joDn7FuQ,0,36.2393761045,-115.226774905,89130,8,3.0
RMXjpVB2eg8srPIIdWGLsw,1,36.2183313,-115.2081814,89130,11,4.5
Z5eukYH32_nFljOTC2DJ0g,1,36.0154042,-115.1194933,89123,668,4.0
TDTASGFy_aGp6vy0i23mDA,1,36.074447,-115.173368,89119,33,3.0
pybIuTluqRhH_BQ3CJHlLw,0,36.0450573965,-115.244069472,89139,275,3.5
mkZFZkuue9am7PRp9dt1jA,1,36.1443695,-115.0623152,89142,6,3.0
f4vb5tv60WaBcwzRhKpANA,1,36.197769,-115.2804165,89128,112,4.5
wYEAocX0vkcGN-i5rSszrg,0,36.13884,-115.137903,89109,22,3.5
kcxD07NmyWxAHvrzS7LD8A,0,36.15075,-115.206039,89102,5,5.0
7qFtiPg0gdbk911_mj6LoA,1,36.1337103,-115.0850568,89121,83,4.0
YHN7wVaOFp9wkl_w7NXLXw,0,36.059631,-115.119423,89119,4,1.0
ZtdCS8XjmL4P6BvMOIQWag,0,36.1986126381,-115.282822682,89128,32,3.5
KSkjE3krqsovBs7iC4x7ng,1,36.1004188538,-115.11938484,89119,64,3.0
KjV_68oLLSpqR96VnV68tw,1,36.0003820004,-115.154377744,89123,141,2.5
JWN22sQ7cl9KjmIk0nMbUg,1,36.197123422,-115.260864194,89128,27,2.0
Vn-Xqc1qkF1Vh2Z-wHkBVw,1,36.143775,-115.082142,89104,21,4.5
oL_fYqSHG63vR0TBMyoo_A,1,36.163691,-115.157758,89106,25,2.0
Oqqnw0Rz77sMDPHS_eN2aA,1,36.1594825,-115.2874508,89117,85,4.0
O7godQv-9pyQJ2JvCMiQjw,0,36.0069369,-115.1466693,89183,19,4.0
MsQTe82TCbZXDPG4LOgVoA,1,36.2006158,-115.2799579,89128,15,3.0
OM31QC8tyTOXZgK0FDz_hw,1,36.1020815564,-115.053142111,89122,25,3.0
wWuGa3OOQJro_XGe-GKBXA,1,36.1266230217,-115.209962827,89146,562,4.5
Dfbg3m2ce1VUzJ5i6Z7IuA,0,36.1307616627,-115.199026038,89102,58,4.0
LFs5jyYdXlzi0SpAYi1eSA,1,36.127783,-115.168968,89109,1377,4.0
F3iG7XyIsojEfFFMGXAVEQ,1,36.2613789,-115.1553345,89031,9,1.5
mvMih24zuSw_dZyU_LEY7g,1,36.1441807,-115.0628631,89142,25,2.5
IeUTC__Ec2erX1QSidsvNw,1,36.1742824,-115.0834351,89110,3,3.5
ajwGl90CuCZac3BKWY1ShQ,1,36.0418652586,-115.117927194,89123,45,2.0
xd-AnaGxEMKT2zTEheP6_w,0,36.15962,-115.2425364,89146,127,4.0
vfqUUh_5KF3R7mz2XiNXGg,0,36.0069369,-115.1466693,89183,31,5.0
w55IYhyLHUdsRlo_EvMmNQ,0,36.2914365,-115.2870159,89149,79,3.5
