business_id,checkin_count
vJIuDBdu01vCA8y1fwR1OQ,1
kgffcoxT6BQp-gJ-UQ7Czw,67
0jtRI7hVMpQHpUVtUy4ITw,765
JJEx5wIqs9iGGATOagE8Sg,39
zhxnD7J5_sCrKSw5cwI9dQ,69
2kWrSFkIes_d2BMg4YrRtA,28
6llKs7K_tn8ChXcIM-oTvg,7
YV9GVfmDSDM7HSV0jVdTOA,131
F7OsiFk9aLZtqZczA84xpw,110
XeDLyY2a7nZ3IEY4RYslXA,2515
MDVbJicJvqaO4WGx0vEabQ,1145
sOkQ2Y1-D8h18oN5NgxuLg,9
lv5Bnqlt93NnvNJ2oNcQ8Q,407
D1TaFES4phv65RmsM8VCiA,24
glkEaoxbewiSMBiXs945JA,970
lYCeqldIiOggsbByH3RRhw,53
juuv0QPE_MfnVjevQTpCDg,11
DbK9fyJq4O4zfT1jv6JOhw,552
PChG1Dm0A6AXIXkXGVK8Fw,2374
owxcYAUca_6K6BAUX4V48w,265
WSGHEQdcdbBWXDpna99EiQ,534
0aDCv4zPhzy7RklHDrnKQg,28
rWkQMRI6PRo5woBaxGD68g,17
Kx0MUrNQ737s-VVElk6Vig,134
FW_zg6VuyW5v_vM394gWAw,181
r8Jr-7YfkhJL2nxk9lxUNg,1341
yUqJReOv26454QkjGz37Yw,185
NGp1HTYrPg3pMP-tXeLf-g,72
kDZm3fZcLhotRwC50XE_qg,21
stbX9rtRIpDF-VymOwHJ8w,269
cQzFj5GNz8l_VMJJnW4mLw,342
YYRP-b61hjDljhWBfmUlDg,53
oJ7mF-fW8GuEoUZ8BSA37Q,165
dn_ipqbm7_jUz5X3rDez_A,6352
ZosrzTfiiPhbURA04AQTUA,684
qrjRRBOUmN7MFxBQNuJZIA,70
5yZ1XmDcOEsElDeb9PlPDQ,873
joykx2LTxkBKvh-fEk4aKw,17
FbayoQWK77lRJ7Luo2WKlA,6
2QznyHGF0PuiYkrl5RU66A,95
3Nx9NCzMTXC6jFgdk2mDGg,124
lYlVsbhDrglWDdhh7OTM2w,16
LPnbHWVedn2oX3WGkHOJSQ,528
GH5gbLHw05toW6ePNIUzTw,21
aF6cB7BtV3lXQhJoLuESGw,100
ibFdignja_hNpgCjDYP7Ug,1810
HV2vPReKp0n0E6zgjsu4Mg,121
tzoUxh1HXllUijtAkO6w0Q,0
G8SFOD9TKCSic2o0hyKc0Q,14
GvSb0uWmBsB58jbzpogciQ,115
3-Bm90nXNtwLFyDtlj9olQ,67
H99aadKfIQ3RZ6joDn7FuQ,12
RMXjpVB2eg8srPIIdWGLsw,9
Z5eukYH32_nFljOTC2DJ0g,2804
TDTASGFy_aGp6vy0i23mDA,250
pybIuTluqRhH_BQ3CJHlLw,1295
mkZFZkuue9am7PRp9dt1jA,11
f4vb5tv60WaBcwzRhKpANA,165
wYEAocX0vkcGN-i5rSszrg,23
kcxD07NmyWxAHvrzS7LD8A,5
7qFtiPg0gdbk911_mj6LoA,137
YHN7wVaOFp9wkl_w7NXLXw,1
ZtdCS8XjmL4P6BvMOIQWag,163
KSkjE3krqsovBs7iC4x7ng,285
KjV_68oLLSpqR96VnV68tw,813
JWN22sQ7cl9KjmIk0nMbUg,107
Vn-Xqc1qkF1Vh2Z-wHkBVw,39
oL_fYqSHG63vR0TBMyoo_A,40
Oqqnw0Rz77sMDPHS_eN2aA,300
O7godQv-9pyQJ2JvCMiQjw,20
MsQTe82TCbZXDPG4LOgVoA,53
OM31QC8tyTOXZgK0FDz_hw,221
wWuGa3OOQJro_XGe-GKBXA,1386
Dfbg3m2ce1VUzJ5i6Z7IuA,174
LFs5jyYdXlzi0SpAYi1eSA,3763
F3iG7XyIsojEfFFMGXAVEQ,4
mvMih24zuSw_dZyU_LEY7g,19
IeUTC__Ec2erX1QSidsvNw,6
ajwGl90CuCZac3BKWY1ShQ,182
xd-AnaGxEMKT2zTEheP6_w,235
vfqUUh_5KF3R7mz2XiNXGg,29
w55IYhyLHUdsRlo_EvMmNQ,90
fp1AV66Uq9mo_9ZhZIIpcQ,9
TkrydveE1Laf_LHoKFALNw,72
IeXVSmtOx0-kntCM_ZX0Zw,9
CiAZtA0C8AYcPdaaKt816A,149
d6_51PI94EC1C5sG9hi6HA,290
ElM8yyW45TAy4vjApwy7ZQ,3
A9IUE1W6TfVXfSC6LkrWCw,653
VWnMgGRexZMGFs7IrQR_9Q,78
wHxe_D6_MPhMLNuHVLMIqQ,138
zZkzpVgMP8xaXg3uMscCjQ,171
Lb9rNNCbF6gL5EM6znWJUA,28
09a8Mrd3STr4AxokKgbZHA,7
VGWEpMEkzQopS5lUNd06Sw,3886
QcWSAa1R7jL-KQLzMSXF_A,0
vFfU79z5a5jQaQA_ka2ftA,232
DKXUkIrFnMUMF535gf-dPA,1418
hmgbkFngXKjpWqJItOPYpA,109
